protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,1,8,0,67,52,0.3001766444903505
0,1,8,0,67,53,0.26458891265303824
0,1,8,0,67,54,0.2849194028573015
0,1,8,0,67,55,0.2696631283195303
0,1,8,0,67,56,0.3001949303270038
0,1,8,0,67,57,0.2798351924166217
0,1,8,0,67,58,0.2847656279537806
0,1,8,0,67,59,0.2698163931931765
0,1,8,0,67,60,0.45663128520261165
0,1,8,0,68,0,0.014432031680468513
0,1,8,0,68,1,0.021979780632608976
0,1,8,0,68,2,0.027204736094387734
0,1,8,0,68,3,0.03192032492982672
0,1,8,0,68,4,0.03729918853709886
0,1,8,0,68,5,0.041214089915686945
0,1,8,0,68,6,0.04683541299568905
0,1,8,0,68,7,0.04994374858734297
0,1,8,0,68,8,0.0547228850611862
0,1,8,0,68,9,0.07097438752908235
0,1,8,0,68,10,0.09367149595928537
0,1,8,0,68,11,0.13955923141255966
0,1,8,0,68,12,0.19332196320831257
0,1,8,0,68,13,0.2633307872801729
0,1,8,0,68,14,0.3510427938871653
0,1,8,0,68,15,0.4395211486568587
0,1,8,0,68,16,0.4840979913813033
0,1,8,0,68,17,0.48843518345341924
0,1,8,0,68,18,0.4375727929598576
0,1,8,0,68,19,0.46808561464341986
0,1,8,0,68,20,0.46301207808712347
0,1,8,0,68,21,0.4681033594814797
0,1,8,0,68,22,0.452830482252922
0,1,8,0,68,23,0.36632237011980995
0,1,8,0,68,24,0.49863540604424456
0,1,8,0,68,25,0.4629880138077913
0,1,8,0,68,26,0.457918465199584
0,1,8,0,68,27,0.3968667385286475
0,1,8,0,68,28,0.4528255159859727
0,1,8,0,68,29,0.4883595028828868
0,1,8,0,68,30,0.4580037479903817
0,1,8,0,68,31,0.47826526574192246
0,1,8,0,68,32,0.4528263796767476
0,1,8,0,68,33,0.376520971816112
0,1,8,0,68,34,0.4833406333245198
0,1,8,0,68,35,0.46301991607593757
0,1,8,0,68,36,0.4782613888747985
0,1,8,0,68,37,0.48336275916658816
0,1,8,0,68,38,0.49355164364230153
0,1,8,0,68,39,0.4986020009220397
0,1,8,0,68,40,0.4833594171126505
0,1,8,0,68,41,0.48844694515535536
0,1,8,0,68,42,0.5037063486407903
0,1,8,0,68,43,0.47316594350586577
0,1,8,0,68,44,0.4935338751542907
0,1,8,0,68,45,0.48337197886532585
0,1,8,0,68,46,0.3154307267600558
0,1,8,0,68,47,0.35617553533061913
0,1,8,0,68,48,0.44774303305907576
0,1,8,0,68,49,0.44774442082235244
0,1,8,0,68,50,0.3714276256588352
0,1,8,0,68,51,0.3663252522091034
0,1,8,0,68,52,0.3154505805423736
0,1,8,0,68,53,0.4223140629829364
0,1,8,0,68,54,0.38159835707805984
0,1,8,0,68,55,0.42728421233078057
0,1,8,0,68,56,0.4020403722880581
0,1,8,0,68,57,0.4782705110151341
0,1,8,0,68,58,0.4528337211813599
0,1,8,0,68,59,0.4019237255797819
0,1,8,0,68,60,0.4037476572067702
0,1,8,0,69,0,0.01172924929359908
0,1,8,0,69,1,0.023121286921591818
0,1,8,0,69,2,0.04357221310537373
0,1,8,0,69,3,0.09247558205756125
0,1,8,0,69,4,0.1541371046528589
0,1,8,0,69,5,0.23155688294486365
0,1,8,0,69,6,0.3394235026660739
0,1,8,0,69,7,0.32054903964492626
0,1,8,0,69,8,0.36633005579203887
0,1,8,0,69,9,0.48845183632687644
0,1,8,0,69,10,0.31545027970884304
0,1,8,0,69,11,0.33580559347935074
0,1,8,0,69,12,0.41213113863969925
0,1,8,0,69,13,0.43247432294772226
0,1,8,0,69,14,0.4579148624007186
0,1,8,0,69,15,0.4223077195739698
0,1,8,0,69,16,0.4426483952772016
0,1,8,0,69,17,0.46301671461182814
0,1,8,0,69,18,0.36124463602102413
0,1,8,0,69,19,0.4986119863258571
0,1,8,0,69,20,0.4833704806403479
0,1,8,0,69,21,0.386674350404179
0,1,8,0,69,22,0.4172122143120178
0,1,8,0,69,23,0.447740791305801
0,1,8,0,69,24,0.4629309539335183
0,1,8,0,69,25,0.48344644082154664
0,1,8,0,69,26,0.4579048185335158
0,1,8,0,69,27,0.49351316647819826
0,1,8,0,69,28,0.46302598793981914
0,1,8,0,69,29,0.4935428180744313
0,1,8,0,69,30,0.5240554964802777
0,1,8,0,69,31,0.45789019021079813
0,1,8,0,69,32,0.4019116526302274
0,1,8,0,69,33,0.5088721815483201
0,1,8,0,69,34,0.5189821796217912
0,1,8,0,69,35,0.5189716621698823
0,1,8,0,69,36,0.4833584951748696
