protocol,num_tcp_conn,seq_num,anonymized_mCid,radio_type,throughput_mbps,nrStatus,primitive_handoff_type
0,8,248,2,0,0.14255765199161427,1,3
0,8,249,2,0,0.08794549266247381,1,3
0,8,250,2,0,0.11006289308176101,1,3
0,8,251,2,0,0.09895178197064991,1,3
0,8,252,2,0,0.12054507337526206,1,3
0,8,253,2,0,0.0769392033542977,1,3
0,8,254,2,0,0.11006289308176101,1,3
0,8,255,2,0,0.09895178197064991,1,3
0,8,256,2,0,0.11006289308176101,1,3
0,8,257,2,0,0.12054507337526206,1,3
0,8,258,2,0,0.09895178197064991,1,3
0,8,259,2,0,0.12054507337526206,1,3
0,8,260,2,0,0.11006289308176101,1,3
0,8,261,2,0,0.1320754716981132,1,3
0,8,262,2,0,0.11006289308176101,1,3
0,8,263,2,0,0.09895178197064991,1,3
0,8,264,2,0,0.0659329140461216,1,3
0,8,265,2,0,0.12054507337526206,1,3
0,8,266,2,0,0.08794549266247381,1,3
0,8,267,2,0,0.09895178197064991,1,3
0,8,268,1,0,0.09895178197064991,1,2
0,8,269,1,0,0.08794549266247381,1,3
0,8,270,1,0,0.08794549266247381,1,3
0,8,271,1,0,0.11006289308176101,1,3
0,8,272,1,0,0.09895178197064991,1,3
0,8,273,1,0,0.04392033542976939,1,3
0,8,274,1,0,0.09895178197064991,1,3
0,8,275,1,0,0.0769392033542977,1,3
0,8,276,1,0,0.0659329140461216,1,3
0,8,277,1,0,0.09895178197064991,1,3
0,8,278,1,0,0.0330188679245283,1,3
0,8,279,1,0,0.09895178197064991,1,3
0,8,280,1,0,0.0549266247379455,1,3
0,8,281,1,0,0.12054507337526206,1,3
0,8,282,1,0,0.12054507337526206,1,3
0,8,283,1,0,0.0769392033542977,1,3
0,8,284,1,0,0.12054507337526206,1,3
0,8,285,1,0,0.0769392033542977,1,3
0,8,286,1,0,0.12054507337526206,1,3
0,8,287,1,0,0.08794549266247381,1,3
0,8,288,1,0,0.12054507337526206,1,3
0,8,289,1,0,0.12054507337526206,1,3
0,8,290,1,0,0.11006289308176101,1,3
0,8,291,1,0,0.11006289308176101,1,3
0,8,292,1,0,0.0769392033542977,1,3
0,8,293,1,0,0.1320754716981132,1,3
0,8,294,1,0,0.14255765199161427,1,3
0,8,295,1,0,0.04392033542976939,1,3
0,8,296,1,0,0.15408805031446543,1,3
0,8,297,1,0,0.09895178197064991,1,3
0,8,298,1,0,0.0549266247379455,1,3
0,8,299,1,0,0.09895178197064991,1,3
0,8,300,1,0,0.08794549266247381,1,3
0,8,301,1,0,0.0659329140461216,1,3
0,8,302,1,0,0.08794549266247381,1,3
0,8,303,1,0,0.0549266247379455,1,3
0,8,304,1,0,0.09895178197064991,1,3
0,8,305,1,0,0.0769392033542977,1,3
0,8,306,1,0,0.0659329140461216,1,3
0,8,307,8,0,0.0549266247379455,1,2
0,8,308,8,0,0.0769392033542977,1,3
0,8,309,10,0,0.04392033542976939,1,2
0,8,310,10,0,0.022012578616352203,1,3
0,8,311,10,0,0.0659329140461216,1,3
0,8,312,10,0,0.0769392033542977,1,3
0,8,313,10,0,0.04392033542976939,1,3
0,8,314,10,0,0.0659329140461216,1,3
0,8,315,10,0,0.0549266247379455,1,3
0,8,316,10,0,0.08794549266247381,1,3
0,8,317,10,0,0.0549266247379455,1,3
0,8,318,10,0,0.0769392033542977,1,3
0,8,319,10,0,0.09895178197064991,1,3
0,8,320,10,0,0.09895178197064991,1,3
0,8,321,10,0,0.0769392033542977,1,3
0,8,322,10,0,0.0769392033542977,1,3
0,8,323,10,0,0.0549266247379455,1,3
0,8,324,10,0,0.0769392033542977,1,3
0,8,325,10,0,0.08794549266247381,1,3
0,8,326,10,0,0.08794549266247381,1,3
0,8,327,10,0,0.0769392033542977,1,3
0,8,328,10,0,0.09895178197064991,1,3
0,8,329,10,1,0.14255765199161427,0,1
0,8,330,10,1,0.09895178197064991,0,3
0,8,331,10,1,0.04392033542976939,0,3
0,8,332,10,1,0.43920335429769397,0,3
0,8,333,10,1,0.5607966457023061,0,3
0,8,334,10,1,0.5167714884696017,0,3
0,8,335,10,1,0.5167714884696017,0,3
0,8,336,10,1,0.5932914046121593,0,3
0,8,337,10,1,0.5052410901467506,0,3
0,8,338,10,1,0.5607966457023061,0,3
0,8,339,10,1,0.5607966457023061,0,3
0,8,340,10,1,0.5167714884696017,0,3
0,8,341,10,1,0.4947589098532495,0,3
0,8,342,10,1,0.5712788259958071,0,3
0,8,343,10,1,0.5607966457023061,0,3
0,8,344,10,1,0.6268343815513627,0,3
0,8,345,10,1,0.6048218029350105,0,3
0,8,346,10,1,0.6928721174004193,0,3
0,8,347,10,1,0.7589098532494759,0,3
0,8,348,10,1,0.7473794549266248,0,3
0,8,349,10,1,0.7473794549266248,0,3
0,8,350,10,1,0.7148846960167715,0,3
0,8,351,10,1,0.889937106918239,0,3
0,8,352,10,1,0.879454926624738,0,3
0,8,353,10,1,0.8679245283018868,0,3
0,8,354,10,1,0.9339622641509434,0,3
0,8,355,10,1,0.9014675052410902,0,3
0,8,356,10,1,0.879454926624738,0,3
0,8,357,10,1,0.9014675052410902,0,3
0,8,358,10,1,0.8679245283018868,0,3
0,8,359,10,1,0.889937106918239,0,3
0,8,360,10,1,0.879454926624738,0,3
0,8,361,10,1,0.9339622641509434,0,3
0,8,362,10,1,0.8459119496855346,0,3
0,8,363,10,1,0.9014675052410902,0,3
0,8,364,10,1,0.8574423480083858,0,3
0,8,365,10,1,0.9559748427672956,0,3
0,8,366,10,1,0.879454926624738,0,3
0,8,367,10,1,0.8574423480083858,0,3
